id,ESR number,ST,date,Source,Year
SGV002,ERL051890,516,24/05/2005,Human clinical,2005
SGV003,ERL054204,516,8/11/2005,Human clinical,2005
SGV004,ERL052963,654,23/08/2005,Bovine,2005
SGV005,ERL061223,516,24/03/2006,Human clinical,2006
SGV006,ERL062795,516,23/07/2006,Human clinical,2006
SGV007,ERL063762,516,20/09/2006,Human clinical,2006
SGV008,ERL063415,516,29/08/2006,Human clinical,2006
SGV009,ERL063916,516,6/10/2006,Human clinical,2006
SGV010,ERL064256,516,6/11/2006,Human clinical,2006
SGV011,ERL072255,516,26/07/2007,Human clinical,2007
SGV012,ERL073170,516,2/10/2007,Human clinical,2007
SGV013,ERL084104,516,3/11/2008,Human clinical,2008
SGV014,ERL092174,516,11/07/2009,Human clinical,2009
SGV016,ERL10349,516,6/06/2010,Human clinical,2010
SGV017,ERL11652,516,20/02/2011,Human clinical,2011
SGV018,H12ESR01010,2227,1/08/2012,Human clinical,2012
SGV019,H12ESR03447,516,17/09/2012,Poultry,2012
SGV020,17ER0716,516,1/03/2017,Human clinical,2017
SGV021,19ER1365,654,25/03/2019,Bovine - Faeces,2019
SGV022,19ER3158,654,16/08/2019,Bovine - Faeces,2019
SGV023,19ER1126,654,6/03/2019,Bovine - Faeces,2019
SGV025,19ER3075,654,11/08/2019,Bovine - Faeces,2019
SGV026,19ER3366,654,27/08/2019,Bovine - Faeces,2019
SGV027,19ER3536,0,6/09/2019,Calf,2019
SGV028,19ER4151,654,6/10/2019,Bovine - Faeces,2019
SGV029,19ER4196,654,8/10/2019,Bovine - Faeces,2019
SGV030,20ER1407,654,15/05/2020,Bovine - Faeces,2020
SGV031,20ER3761,654,10/11/2020,Bovine - Faeces,2020
SGV032,20ER3645,654,4/11/2020,Human clinical,2020
SGV033,20ER1753,654,17/06/2020,Human clinical,2020
SGV034,20ER3712,654,11/11/2020,Human clinical,2020
SGV035,20ER1420,654,15/04/2020,Feline,2020
SGV036,20ER1421,654,9/04/2020,Bovine - Faeces,2020
SGV037,20ER1410,654,4/05/2020,Bovine - Faeces,2020
SGV038,20ER1480,654,22/05/2020,Bovine - Faeces,2020
SGV039,20ER1496,654,2/02/2020,Canine,2020
SGV040,20ER1716,654,9/06/2020,Bovine - Faeces,2020
SGV041,20ER2181,654,29/07/2020,Bovine - Faeces,2020
SGV042,20ER2814,654,31/08/2020,Bovine - Faeces,2020
SGV043,20ER2830,654,7/09/2020,Bovine - Faeces,2020
SGV044,20ER3227,654,25/09/2020,Bovine - Faeces,2020
SGV045,20ER3567,654,30/10/2020,Canine,2020
SGV046,20ER4113,654,14/12/2020,Bovine - Faeces,2020
SGV047,21ER3675,654,7/10/2021,Bovine - Faeces,2021
SGV048,21ER0924,654,17/03/2021,Bovine - Faeces,2021
SGV049,21ER0433,654,5/02/2021,Human clinical,2021
SGV050,21ER1931,654,1/06/2021,Human clinical,2021
SGV051,21ER1304,654,12/04/2021,Bovine - Faeces,2021
SGV052,21ER1303,654,13/04/2021,Canine,2021
SGV053,21ER1463,654,27/04/2021,Bovine - Faeces,2021
SGV054,20ER2039,654,16/07/2020,Canine,2020
SGV055,21ER2278,654,30/06/2021,Bovine - Faeces,2021
SGV056,21ER2724,654,2/08/2021,Canine,2021
SGV057,21ER2726,654,30/07/2021,Bovine - Faeces,2021
SGV058,21ER2811,654,13/08/2021,Canine - faeces,2021
SGV059,21ER3097,654,24/08/2021,Bovine - Faeces,2021
SGV060,21ER3588,654,29/09/2021,Bovine - Faeces,2021
SGV061,21ER3740,654,8/10/2021,Canine,2021
SGV062,21ER3795,654,14/10/2021,Bovine - Faeces,2021
SGV063,21ER3991,654,1/11/2021,Ovine,2021
SGV064,21ER4053,654,5/11/2021,Bovine - Faeces,2021
SGV065,21ER4133,654,11/11/2021,Canine,2021
SGV066,22ER0601,654,8/02/2022,Human clinical,2022
Reference,22ER0601,0,8/02/2022,Human clinical,2022
SGV067,22ER0604,654,10/02/2022,Bovine,2022
SGV068,22ER1132,654,11/03/2022,Canine,2022
SGV069,22ER1624,654,27/04/2022,Bovine,2022
SGV070,22ER1654,654,27/04/2022,Canine,2022
SGV071,22ER1714,654,3/05/2022,Human clinical,2022
SGV072,22ER2190,654,22/06/2022,Feline,2022
SGV073,22ER2261,654,27/06/2022,Canine,2022
SGV074,22ER2332,684,10/07/2022,Human clinical,2022
SGV075,22ER2511,654,22/07/2022,Calves,2022
SGV077,22ER3063,654,30/08/2022,Canine,2022
SGV078,22ER3142,654,7/09/2022,Bovine - Faeces,2022
SGV079,22ER3456,654,28/09/2022,Canine,2022
SGV080,22ER4065,654,15/11/2022,Equine,2022
SGV081,22ER3966,0,8/11/2022,Bovine,2022
SGV082,22ER4425,0,12/12/2022,Bovine,2022
